text,filename
"Hello, this is a sample handwriting text!",sample-1
"The quick brown fox jumps over the lazy dog",sample-2
"Handwriting synthesis using AI and ML",sample-3
"Practice makes perfect",sample-4
"Transform your typed text into beautiful handwriting",sample-5
"Artificial intelligence is transforming our world",sample-6
"Every expert was once a beginner",sample-7
"Dream big, work hard, stay focused",sample-8
"Innovation distinguishes between a leader and a follower",sample-9
"The best way to predict the future is to invent it",sample-10
